model,split,Era,CircuitKey,mae
BayesianRidge,test,1,Australian Grand Prix,4.1576
BayesianRidge,test,1,Canadian Grand Prix,4.9796
BayesianRidge,test,1,Chinese Grand Prix,3.7346
BayesianRidge,test,1,Japanese Grand Prix,3.109
BayesianRidge,test,1,Miami Grand Prix,2.8287
BayesianRidge,test,1,Monaco Grand Prix,5.5239
LightGBM,test,1,Australian Grand Prix,3.8516
LightGBM,test,1,Canadian Grand Prix,4.8706
LightGBM,test,1,Chinese Grand Prix,1.7591
LightGBM,test,1,Japanese Grand Prix,2.7205
LightGBM,test,1,Miami Grand Prix,2.6134
LightGBM,test,1,Monaco Grand Prix,4.4719
RandomForest,test,1,Australian Grand Prix,5.5087
RandomForest,test,1,Canadian Grand Prix,14.4571
RandomForest,test,1,Chinese Grand Prix,5.55
RandomForest,test,1,Japanese Grand Prix,16.1245
RandomForest,test,1,Miami Grand Prix,2.4224
RandomForest,test,1,Monaco Grand Prix,7.5031
BayesianRidge,val,0,Australian Grand Prix,6.6335
BayesianRidge,val,0,Austrian Grand Prix,3.3771
BayesianRidge,val,0,Bahrain Grand Prix,2.4783
BayesianRidge,val,0,British Grand Prix,4.1451
BayesianRidge,val,0,Canadian Grand Prix,6.3332
BayesianRidge,val,0,Chinese Grand Prix,6.6256
BayesianRidge,val,0,Dutch Grand Prix,7.2959
BayesianRidge,val,0,Emilia Romagna Grand Prix,6.2537
BayesianRidge,val,0,Hungarian Grand Prix,2.7371
BayesianRidge,val,0,Italian Grand Prix,2.7044
BayesianRidge,val,0,Japanese Grand Prix,3.7354
BayesianRidge,val,0,Las Vegas Grand Prix,3.7892
BayesianRidge,val,0,Mexico City Grand Prix,2.9829
BayesianRidge,val,0,Miami Grand Prix,3.7798
BayesianRidge,val,0,Monaco Grand Prix,4.1449
BayesianRidge,val,0,Saudi Arabian Grand Prix,2.2453
BayesianRidge,val,0,Singapore Grand Prix,2.8156
BayesianRidge,val,0,Spanish Grand Prix,5.0405
BayesianRidge,val,0,São Paulo Grand Prix,5.9103
BayesianRidge,val,0,United States Grand Prix,2.6789
LightGBM,val,0,Australian Grand Prix,7.2501
LightGBM,val,0,Austrian Grand Prix,3.1659
LightGBM,val,0,Bahrain Grand Prix,1.4201
LightGBM,val,0,British Grand Prix,6.0382
LightGBM,val,0,Canadian Grand Prix,4.1102
LightGBM,val,0,Chinese Grand Prix,3.7554
LightGBM,val,0,Dutch Grand Prix,8.17
LightGBM,val,0,Emilia Romagna Grand Prix,5.1018
LightGBM,val,0,Hungarian Grand Prix,0.7996
LightGBM,val,0,Italian Grand Prix,2.964
LightGBM,val,0,Japanese Grand Prix,3.9588
LightGBM,val,0,Las Vegas Grand Prix,2.1878
LightGBM,val,0,Mexico City Grand Prix,2.8578
LightGBM,val,0,Miami Grand Prix,2.4234
LightGBM,val,0,Monaco Grand Prix,2.9871
LightGBM,val,0,Saudi Arabian Grand Prix,0.7631
LightGBM,val,0,Singapore Grand Prix,2.114
LightGBM,val,0,Spanish Grand Prix,4.448
LightGBM,val,0,São Paulo Grand Prix,4.0488
LightGBM,val,0,United States Grand Prix,1.5305
RandomForest,val,0,Australian Grand Prix,10.4532
RandomForest,val,0,Austrian Grand Prix,2.744
RandomForest,val,0,Bahrain Grand Prix,2.2999
RandomForest,val,0,British Grand Prix,4.2144
RandomForest,val,0,Canadian Grand Prix,5.9174
RandomForest,val,0,Chinese Grand Prix,8.6939
RandomForest,val,0,Dutch Grand Prix,12.369
RandomForest,val,0,Emilia Romagna Grand Prix,5.2672
RandomForest,val,0,Hungarian Grand Prix,3.3062
RandomForest,val,0,Italian Grand Prix,7.2132
RandomForest,val,0,Japanese Grand Prix,7.1459
RandomForest,val,0,Las Vegas Grand Prix,4.2034
RandomForest,val,0,Mexico City Grand Prix,3.9226
RandomForest,val,0,Miami Grand Prix,3.302
RandomForest,val,0,Monaco Grand Prix,3.6068
RandomForest,val,0,Saudi Arabian Grand Prix,1.4811
RandomForest,val,0,Singapore Grand Prix,7.1867
RandomForest,val,0,Spanish Grand Prix,20.1082
RandomForest,val,0,São Paulo Grand Prix,9.9186
RandomForest,val,0,United States Grand Prix,1.7114
