split,scope,key,laps,mae_all,mae_green
val,overall,all,25291,2.2539131899803473,1.1197220452373686
val,era,0,25291,2.2539131899803473,1.1197220452373686
val,circuit,0/Australian Grand Prix,801,5.851457306784488,2.0582494718907243
val,circuit,0/Austrian Grand Prix,1034,0.7373496858755443,0.7162903014234723
val,circuit,0/Bahrain Grand Prix,1358,2.1378835523377813,0.502742158513239
val,circuit,0/British Grand Prix,716,1.1443068015668647,0.9978653127114604
val,circuit,0/Canadian Grand Prix,1586,6.199611182695079,2.956624771933173
val,circuit,0/Chinese Grand Prix,1246,0.7244836381694862,0.7317485680863833
val,circuit,0/Dutch Grand Prix,1619,4.741031063049203,1.5256284532231532
val,circuit,0/Emilia Romagna Grand Prix,1455,4.954020424041223,0.9887597076247409
val,circuit,0/Hungarian Grand Prix,1609,0.5557413909324138,0.5557413909324138
val,circuit,0/Italian Grand Prix,1121,0.6681067616499289,0.6553719134990986
val,circuit,0/Japanese Grand Prix,1265,0.45766780856287054,0.45766780856287054
val,circuit,0/Las Vegas Grand Prix,1036,1.5145023050786908,1.0283038959293993
val,circuit,0/Mexico City Grand Prix,1494,1.6215918123176298,0.6905487817345736
val,circuit,0/Miami Grand Prix,622,2.111463983566431,1.1426876899826692
val,circuit,0/Monaco Grand Prix,1634,2.771241696118433,2.83455293359248
val,circuit,0/Saudi Arabian Grand Prix,1030,0.8168107544537891,0.8168107544537891
val,circuit,0/Singapore Grand Prix,1440,1.0204999466790095,0.925794928802841
val,circuit,0/Spanish Grand Prix,1473,2.5372733274461132,1.193280123942919
val,circuit,0/São Paulo Grand Prix,1504,2.035141673473601,1.0315177153255157
val,circuit,0/United States Grand Prix,1248,0.8398990302941736,0.47772050815016287
test,overall,all,7460,3.7826971685741926,1.6168597654776873
test,era,1,7460,3.7826971685741926,1.6168597654776873
test,circuit,1/Australian Grand Prix,1171,5.619515340985854,1.995161113981805
test,circuit,1/Canadian Grand Prix,1409,6.4909425187445935,3.1256028054187652
test,circuit,1/Chinese Grand Prix,992,1.5439840254629817,0.7938705336794415
test,circuit,1/Japanese Grand Prix,1224,2.4595376601873657,0.6202256844120357
test,circuit,1/Miami Grand Prix,1092,1.3395291232154485,0.823394112447768
test,circuit,1/Monaco Grand Prix,1572,4.127136356538185,2.0652489553780797
