seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10000,5316.126020004253,5315.258713772478,4.0,4.0,1.0,1.0,-0.8673062317757285
10001,5337.7969220806945,5329.921939714699,5.0,4.0,1.0,1.0,-7.874982365995493
10002,5267.641555617379,5277.96230056096,2.0,2.0,1.0,1.0,10.320744943581303
10003,5265.620198009072,5266.710021174601,2.0,2.0,1.0,1.0,1.0898231655291966
10004,5288.3908449068385,5288.890865882537,3.0,3.0,1.0,1.0,0.5000209756981349
10005,5303.862331781201,5317.889985116223,3.0,4.0,1.0,1.0,14.027653335022478
10006,5255.015271112666,5262.8781694073705,2.0,2.0,1.0,1.0,7.862898294704792
10007,5274.190769593708,5272.07213457013,3.0,3.0,1.0,1.0,-2.1186350235775535
10008,5243.473296893343,5250.183875824649,1.0,1.0,1.0,1.0,6.710578931305463
10009,5262.561295246472,5262.823860915913,2.0,2.0,1.0,1.0,0.26256566944175574
10010,5277.12837054959,5272.877967567704,3.0,3.0,1.0,1.0,-4.2504029818856
10011,5269.328788029899,5330.430530972542,3.0,4.0,1.0,1.0,61.101742942642886
10012,5278.773205311805,5301.596227942537,3.0,3.0,1.0,1.0,22.82302263073143
10013,5301.651896242677,5310.393530140159,3.0,2.0,1.0,1.0,8.741633897481734
10014,5255.632475715481,5246.933848506538,2.0,1.0,1.0,1.0,-8.698627208942526
10015,5282.429295765448,5279.324810809108,3.0,3.0,1.0,1.0,-3.1044849563395474
10016,5244.155714668746,5255.847837303544,1.0,1.0,1.0,1.0,11.69212263479767
10017,5249.325674258235,5251.151747265158,2.0,2.0,1.0,1.0,1.8260730069223428
10018,5282.098810465261,5281.088896136557,3.0,3.0,1.0,1.0,-1.0099143287034167
10019,5249.252314187426,5248.0223381603355,3.0,3.0,1.0,1.0,-1.2299760270907427
10020,5248.845206455433,5251.904489075219,1.0,2.0,1.0,1.0,3.059282619786245
10021,5277.096996826687,5262.722290498958,3.0,2.0,1.0,1.0,-14.374706327729655
10022,5273.782704236638,5303.589087554068,2.0,3.0,1.0,1.0,29.806383317430118
10023,5277.041788980795,5278.342975637779,3.0,3.0,1.0,1.0,1.3011866569841004
10024,5258.781957708157,5287.795017573668,2.0,1.0,1.0,1.0,29.013059865510513
10025,5297.112715340942,5279.262658342479,4.0,4.0,1.0,1.0,-17.850056998462605
10026,5266.769078596601,5259.525892910515,3.0,2.0,1.0,1.0,-7.243185686085781
10027,5281.629368051073,5279.307453624156,3.0,3.0,1.0,1.0,-2.321914426916919
10028,5287.2379556832375,5276.137458941832,3.0,2.0,1.0,1.0,-11.10049674140555
10029,5275.818660434473,5274.901339487304,3.0,3.0,1.0,1.0,-0.9173209471691735
10030,5280.153024061441,5274.654729441383,3.0,3.0,1.0,1.0,-5.4982946200580045
10031,5250.374851887836,5249.820940306794,3.0,3.0,1.0,1.0,-0.5539115810415751
10032,5272.474827245677,5271.678592495959,2.0,2.0,1.0,1.0,-0.7962347497186784
10033,5251.066856052326,5248.841228760512,2.0,2.0,1.0,1.0,-2.2256272918139075
10034,5322.882855292356,5275.9950174971145,4.0,3.0,1.0,1.0,-46.88783779524147
10035,5285.413357086809,5271.71980468766,3.0,2.0,1.0,1.0,-13.693552399148757
10036,5243.74838256606,5255.552444205043,1.0,1.0,1.0,1.0,11.804061638982603
10037,5266.910455896446,5272.193611129266,2.0,2.0,1.0,1.0,5.283155232819809
10038,5283.418473940084,5287.187312717793,3.0,3.0,1.0,1.0,3.768838777708879
10039,5265.644453288007,5274.124576950639,3.0,2.0,1.0,1.0,8.48012366263174
10040,5348.176924313656,5340.83583811372,5.0,5.0,1.0,1.0,-7.341086199936399
10041,5259.9706137679805,5259.9706137679805,2.0,2.0,1.0,1.0,0.0
10042,5297.404001046044,5265.399710456132,3.0,2.0,1.0,1.0,-32.00429058991176
10043,5253.975884709285,5290.490509190317,1.0,2.0,1.0,1.0,36.514624481032115
10044,5282.465795393505,5282.887231465803,3.0,3.0,1.0,1.0,0.42143607229809277
10045,5249.882878160192,5245.354419183479,2.0,2.0,1.0,1.0,-4.528458976713409
10046,5324.94250880951,5376.688883874407,5.0,5.0,1.0,1.0,51.74637506489671
10047,5278.605253870899,5275.036871641735,2.0,3.0,1.0,1.0,-3.5683822291639444
10048,5284.3326366328465,5283.734222350751,3.0,3.0,1.0,1.0,-0.5984142820952911
10049,5295.085956350603,5292.864157644567,3.0,3.0,1.0,1.0,-2.22179870603577
10050,5277.528220637339,5267.499375353806,2.0,3.0,1.0,1.0,-10.028845283532974
10051,5272.950214702426,5266.018439304782,3.0,2.0,1.0,1.0,-6.9317753976438325
10052,5250.929899247217,5253.1247116144095,3.0,3.0,1.0,1.0,2.1948123671927533
10053,5266.246819454921,5251.816088388431,3.0,2.0,1.0,1.0,-14.430731066489898
10054,5387.071998221325,5309.7292581803995,6.0,3.0,1.0,1.0,-77.34274004092549
10055,5280.339107471421,5264.847921128078,3.0,2.0,1.0,1.0,-15.491186343342633
10056,5253.994282378911,5259.232555647986,1.0,2.0,1.0,1.0,5.238273269075762
10057,5289.076041910205,5288.632433369639,4.0,3.0,1.0,1.0,-0.4436085405659469
10058,5307.3735139728615,5381.659858733323,4.0,5.0,1.0,1.0,74.28634476046136
10059,5261.830600014243,5297.907295656299,2.0,2.0,1.0,1.0,36.07669564205571
10060,5268.858558400394,5326.398720352452,2.0,2.0,1.0,1.0,57.54016195205804
10061,5249.411990097793,5260.134336313625,2.0,2.0,1.0,1.0,10.722346215831749
10062,5263.753296801953,5259.190866224106,3.0,3.0,1.0,1.0,-4.562430577847408
10063,5249.954460503031,5260.892836248043,2.0,2.0,1.0,1.0,10.938375745011399
10064,5270.500011014365,5268.587457794068,2.0,3.0,1.0,1.0,-1.9125532202970135
10065,5274.857855003668,5265.145055470293,2.0,1.0,1.0,1.0,-9.712799533374891
