seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10000,5316.126020004253,5314.084252139072,4.0,4.0,1.0,1.0,-2.0417678651811
10001,5337.7969220806945,5330.451236181495,5.0,4.0,1.0,1.0,-7.345685899199452
10002,5267.641555617379,5279.994587512349,2.0,2.0,1.0,1.0,12.353031894970627
10003,5265.620198009072,5270.786400921558,2.0,2.0,1.0,1.0,5.166202912486369
10004,5288.3908449068385,5286.200050288321,3.0,3.0,1.0,1.0,-2.1907946185174296
10005,5303.862331781201,5318.210652631779,3.0,4.0,1.0,1.0,14.348320850578602
10006,5255.015271112666,5288.365551985947,2.0,3.0,1.0,1.0,33.35028087328101
10007,5274.190769593708,5267.038297759013,3.0,2.0,1.0,1.0,-7.152471834694552
10008,5243.473296893343,5248.866431012806,1.0,1.0,1.0,1.0,5.393134119462957
10009,5262.561295246472,5259.360772302601,2.0,2.0,1.0,1.0,-3.200522943870965
10010,5277.12837054959,5275.822158780253,3.0,3.0,1.0,1.0,-1.3062117693370965
10011,5269.328788029899,5255.473163250222,3.0,2.0,1.0,1.0,-13.855624779677782
10012,5278.773205311805,5277.661703080717,3.0,3.0,1.0,1.0,-1.1115022310877976
10013,5301.651896242677,5309.266880851168,3.0,3.0,1.0,1.0,7.614984608490886
10014,5255.632475715481,5243.975703016661,2.0,1.0,1.0,1.0,-11.656772698819623
10015,5282.429295765448,5282.231541733672,3.0,3.0,1.0,1.0,-0.19775403177573025
10016,5244.155714668746,5253.719365225846,1.0,1.0,1.0,1.0,9.563650557099209
10017,5249.325674258235,5251.151747265158,2.0,2.0,1.0,1.0,1.8260730069223428
10018,5282.098810465261,5278.688387626026,3.0,3.0,1.0,1.0,-3.410422839234343
10019,5249.252314187426,5247.6105512619815,3.0,3.0,1.0,1.0,-1.6417629254447093
10020,5248.845206455433,5251.904489075219,1.0,2.0,1.0,1.0,3.059282619786245
10021,5277.096996826687,5298.066276916747,3.0,4.0,1.0,1.0,20.96928009005933
10022,5273.782704236637,5287.026153152508,2.0,3.0,1.0,1.0,13.24344891587134
10023,5277.041788980795,5278.910862483955,3.0,3.0,1.0,1.0,1.8690735031595977
10024,5258.781957708157,5265.987307930623,2.0,1.0,1.0,1.0,7.205350222465313
10025,5297.112715340942,5280.114206809934,4.0,4.0,1.0,1.0,-16.998508531007246
10026,5266.769078596601,5259.525892910515,3.0,2.0,1.0,1.0,-7.243185686085781
10027,5281.629368051073,5286.994050888267,3.0,3.0,1.0,1.0,5.364682837194778
10028,5287.2379556832375,5275.840693872125,3.0,2.0,1.0,1.0,-11.397261811112912
10029,5275.818660434473,5275.191835823546,3.0,3.0,1.0,1.0,-0.6268246109266329
10030,5280.153024061441,5278.197849236078,3.0,3.0,1.0,1.0,-1.9551748253634287
10031,5250.374851887836,5248.071617819242,3.0,3.0,1.0,1.0,-2.303234068593156
10032,5272.474827245677,5271.788439763227,2.0,2.0,1.0,1.0,-0.6863874824503
10033,5251.066856052326,5257.654542247207,2.0,2.0,1.0,1.0,6.5876861948809164
10034,5322.882855292356,5256.778637885917,4.0,3.0,1.0,1.0,-66.10421740643869
10035,5285.413357086809,5279.764399027448,3.0,3.0,1.0,1.0,-5.648958059360666
10036,5243.74838256606,5250.451211444199,1.0,1.0,1.0,1.0,6.702828878138462
10037,5266.910455896446,5271.046072412768,2.0,2.0,1.0,1.0,4.135616516321534
10038,5283.418473940084,5283.344524895273,3.0,3.0,1.0,1.0,-0.0739490448113429
10039,5265.644453288007,5281.828412118142,3.0,2.0,1.0,1.0,16.183958830135452
10040,5348.176924313656,5334.53520300972,5.0,5.0,1.0,1.0,-13.64172130393581
10041,5259.9706137679805,5259.9706137679805,2.0,2.0,1.0,1.0,0.0
10042,5297.404001046044,5271.853226562363,3.0,2.0,1.0,1.0,-25.55077448368138
10043,5253.975884709285,5282.102258857126,1.0,2.0,1.0,1.0,28.12637414784058
10044,5282.465795393505,5289.644437625985,3.0,3.0,1.0,1.0,7.1786422324803425
10045,5249.882878160192,5269.798281512725,2.0,3.0,1.0,1.0,19.91540335253285
10046,5324.94250880951,5376.688883874407,5.0,5.0,1.0,1.0,51.74637506489671
10047,5278.605253870899,5263.199003958129,2.0,3.0,1.0,1.0,-15.406249912770363
10048,5284.3326366328465,5281.84820072608,3.0,3.0,1.0,1.0,-2.484435906766521
10049,5295.085956350603,5294.026285180845,3.0,3.0,1.0,1.0,-1.0596711697580758
10050,5277.528220637339,5277.206962234859,2.0,2.0,1.0,1.0,-0.3212584024795433
10051,5272.950214702426,5266.262894148416,3.0,2.0,1.0,1.0,-6.687320554009602
10052,5250.929899247217,5276.991842392249,3.0,3.0,1.0,1.0,26.061943145032274
10053,5266.246819454921,5251.0948042791515,3.0,2.0,1.0,1.0,-15.15201517576952
10054,5387.071998221325,5310.700452074809,6.0,3.0,1.0,1.0,-76.37154614651627
