Compound,CircuitKey,Era,pool_level,b,c,b_ci,c_ci,r2,n_stints,n_laps,temp_ref,b_temp,c_temp
HARD,Abu Dhabi Grand Prix,0,circuit,0.031075322987268002,0.0006052681148768776,0.007424392361826517,0.00026864025940254177,0.3201,59,1393,33.3,0.0024169566763642255,-4.998900411653055e-05
HARD,Australian Grand Prix,0,circuit,-0.027914486670855707,-0.00020868612752579158,0.010249207720022708,0.0002778993624716901,0.1101,74,1935,35.46,0.0024169566763642255,-4.998900411653055e-05
HARD,Australian Grand Prix,1,circuit,0.06161941089210998,-0.00041991417199094093,0.015316834713233198,0.0004246417868094568,0.2385,20,500,35.95,0.004586303527001297,-2.236163259440758e-05
HARD,Austrian Grand Prix,0,circuit,0.06574713407018791,0.0005010717482754911,0.010531683634528213,0.00039739092966251794,0.3651,88,1931,38.93,0.0024169566763642255,-4.998900411653055e-05
HARD,Bahrain Grand Prix,0,circuit,0.07466210072278633,0.0005461776602611025,0.012487068675024,0.0005787249248861833,0.3859,91,1645,27.36,0.0024169566763642255,-4.998900411653055e-05
HARD,British Grand Prix,0,circuit,0.023269449680360453,-0.0006154505521852833,0.03364667732590557,0.0015393882002014277,0.0028,21,303,29.23,0.0024169566763642255,-4.998900411653055e-05
HARD,Canadian Grand Prix,0,circuit,-0.007119355515234585,0.0007129470660553732,0.006789123822213594,0.00017708120858228002,0.0949,91,2468,40.98,0.0024169566763642255,-4.998900411653055e-05
HARD,Canadian Grand Prix,1,era,0.040491380557650114,-0.000352102423712247,0.009976884825677228,0.000279550946538841,0.0581,87,2369,17.9,0.004586303527001297,-2.236163259440758e-05
HARD,Chinese Grand Prix,0,circuit,0.05535540967817769,-0.0008421674601121747,0.011150365595734325,0.0003231901027929867,-0.0292,48,1162,33.21,0.0024169566763642255,-4.998900411653055e-05
HARD,Chinese Grand Prix,1,circuit,-0.010484843805128041,0.000264622959515108,0.01700603063990848,0.00043471230029181135,0.0003,19,586,22.4,0.004586303527001297,-2.236163259440758e-05
HARD,Dutch Grand Prix,0,circuit,0.05533760390969989,-0.00027214473309587365,0.007612014032341927,0.00020701058878560207,0.2736,56,1509,30.47,0.0024169566763642255,-4.998900411653055e-05
HARD,Emilia Romagna Grand Prix,0,circuit,0.04940939575495349,0.0003581955518353938,0.008103875564153958,0.0002353055547844431,0.4227,54,1348,41.82,0.0024169566763642255,-4.998900411653055e-05
